,metric,reporter,count,sample
259,del_nomh,GFP_BAR_008,25,U2OS_XPG_4h_BR2
260,ins,GFP_BAR_008,0,U2OS_XPG_4h_BR2
261,repaired,GFP_BAR_008,22127,U2OS_XPG_4h_BR2
262,total,GFP_BAR_008,22224,U2OS_XPG_4h_BR2
263,unrepaired,GFP_BAR_008,59,U2OS_XPG_4h_BR2
264,A,GFP_BAR_009,28,U2OS_XPG_4h_BR2
265,C,GFP_BAR_009,9776,U2OS_XPG_4h_BR2
266,G,GFP_BAR_009,38,U2OS_XPG_4h_BR2
267,T,GFP_BAR_009,14739,U2OS_XPG_4h_BR2
268,del,GFP_BAR_009,373,U2OS_XPG_4h_BR2
269,del_mh,GFP_BAR_009,0,U2OS_XPG_4h_BR2
270,del_nomh,GFP_BAR_009,373,U2OS_XPG_4h_BR2
271,ins,GFP_BAR_009,0,U2OS_XPG_4h_BR2
272,repaired,GFP_BAR_009,14739,U2OS_XPG_4h_BR2
273,total,GFP_BAR_009,24954,U2OS_XPG_4h_BR2
274,unrepaired,GFP_BAR_009,9776,U2OS_XPG_4h_BR2
275,A,GFP_BAR_010,0,U2OS_XPG_4h_BR2
276,C,GFP_BAR_010,0,U2OS_XPG_4h_BR2
277,G,GFP_BAR_010,0,U2OS_XPG_4h_BR2
278,T,GFP_BAR_010,0,U2OS_XPG_4h_BR2
279,del,GFP_BAR_010,0,U2OS_XPG_4h_BR2
280,del_mh,GFP_BAR_010,0,U2OS_XPG_4h_BR2
281,del_nomh,GFP_BAR_010,0,U2OS_XPG_4h_BR2
282,ins,GFP_BAR_010,0,U2OS_XPG_4h_BR2
283,repaired,GFP_BAR_010,0,U2OS_XPG_4h_BR2
284,total,GFP_BAR_010,8618,U2OS_XPG_4h_BR2
285,unrepaired,GFP_BAR_010,0,U2OS_XPG_4h_BR2
286,A,GFP_BAR_DSBR_2,0,U2OS_XPG_4h_BR2
287,C,GFP_BAR_DSBR_2,0,U2OS_XPG_4h_BR2
288,G,GFP_BAR_DSBR_2,0,U2OS_XPG_4h_BR2
289,T,GFP_BAR_DSBR_2,0,U2OS_XPG_4h_BR2
290,del,GFP_BAR_DSBR_2,1733,U2OS_XPG_4h_BR2
291,del_mh,GFP_BAR_DSBR_2,320,U2OS_XPG_4h_BR2
292,del_nomh,GFP_BAR_DSBR_2,1413,U2OS_XPG_4h_BR2
293,ins,GFP_BAR_DSBR_2,67,U2OS_XPG_4h_BR2
294,repaired,GFP_BAR_DSBR_2,0,U2OS_XPG_4h_BR2
