,label,pathway,N cells,mean_repair,ci95_low,ci95_high
214,C8166,MMR,5,0.14103646591750224,0.05049737056618052,0.2609277284291321
215,C8166,MMR,10,0.1391196143643342,0.06829042110687103,0.21906883629680673
216,C8166,MMR,20,0.14302763937311536,0.09466821222432874,0.19648953432818902
217,C8166,MMR,30,0.14216585084603706,0.10058239138694765,0.18413401305202132
218,C8166,MMR,100,0.14065698786224778,0.11859734546476648,0.16472177308977204
219,C8166,MMR,500,0.14112177146620483,0.13049821050696866,0.1511974368710502
220,C8166,NER,1,0.10480154963582754,0.0,0.4038461446762085
221,C8166,NER,2,0.10353584917832631,0.005672751611564309,0.3276492334902285
222,C8166,NER,3,0.10106092080031522,0.0177612139377743,0.3050882972776889
223,C8166,NER,4,0.10179665086045861,0.026007914170622825,0.22940558977425088
224,C8166,NER,5,0.10487389948708005,0.033180185686796905,0.24578079171478748
225,C8166,NER,10,0.10104779656417667,0.044337214156985286,0.18181444220244883
226,C8166,NER,20,0.10345959826186299,0.06144263064488768,0.16514122821390628
227,C8166,NER,30,0.1028786512054503,0.06729298066347837,0.14488624967634678
228,C8166,NER,100,0.10198163747787475,0.08123983759433032,0.12541457489132882
229,C8166,NER,500,0.10261260274797677,0.0923206789419055,0.11253805607557296
230,C8166,NHEJ,1,0.9771553888320923,0.20370370149612427,2.2650601863861084
231,C8166,NHEJ,2,0.9816907801330089,0.4403146103024483,1.823534008860588
232,C8166,NHEJ,3,0.9531300484538078,0.4984524413943291,1.7205330431461334
233,C8166,NHEJ,4,0.9686708374917508,0.5598997518420219,1.6162954747676848
234,C8166,NHEJ,5,0.9503832502663135,0.5706839084625244,1.4811447024345397
235,C8166,NHEJ,10,0.9709264238476754,0.703664293885231,1.3398873090744015
236,C8166,NHEJ,20,0.9550132287144661,0.7570592731237411,1.208180484175682
237,C8166,NHEJ,30,0.9620600481033326,0.7852532312273979,1.1599485784769057
238,C8166,NHEJ,100,0.9635538191795349,0.8679839313030243,1.0623634994029998
239,C8166,NHEJ,500,0.9604500832557679,0.9140749171376228,1.0088029325008392
240,CHLA06ATRT,BER_8oxoG_C,1,0.9194943663974408,0.8250661959399823,0.98
241,CHLA06ATRT,BER_8oxoG_C,2,0.9199843225218136,0.8553804951952377,0.9646167826741302
242,CHLA06ATRT,BER_8oxoG_C,3,0.9188421269698004,0.8664568706631147,0.9580394737060421
243,CHLA06ATRT,BER_8oxoG_C,4,0.9188880608598887,0.8765105075053118,0.9530636889737346
244,CHLA06ATRT,BER_8oxoG_C,5,0.9179612723160537,0.8792028925279903,0.9483573483926064
245,CHLA06ATRT,BER_8oxoG_C,10,0.9187709567571831,0.8893573153305352,0.9442449555943602
246,CHLA06ATRT,BER_8oxoG_C,20,0.9188037553524423,0.8998981873399498,0.9358155775259506
247,CHLA06ATRT,BER_8oxoG_C,30,0.9190263344422781,0.9039562095794081,0.9321638910733059
248,CHLA06ATRT,BER_8oxoG_C,100,0.918954283438088,0.9107854843978782,0.9274043743992593
249,CHLA06ATRT,BER_8oxoG_C,500,0.9190200833076333,0.9153919372152843,0.922516184211131
250,CHLA06ATRT,BER_A_8oxoG,1,0.5540100255820378,0.2962962962962963,0.762962962962963
251,CHLA06ATRT,BER_A_8oxoG,2,0.5530853921356333,0.3823200381585717,0.700869999197464
252,CHLA06ATRT,BER_A_8oxoG,3,0.5530823939143281,0.41668525108769655,0.6853322379792883
253,CHLA06ATRT,BER_A_8oxoG,4,0.5577425187852396,0.4342969538878183,0.6664500279499733
254,CHLA06ATRT,BER_A_8oxoG,5,0.5545548922650938,0.44479111852470465,0.6593082097582876
255,CHLA06ATRT,BER_A_8oxoG,10,0.5541981518528369,0.484959184994142,0.6237285976999395
256,CHLA06ATRT,BER_A_8oxoG,20,0.5551003094330623,0.49795349063996813,0.6071308411179046
257,CHLA06ATRT,BER_A_8oxoG,30,0.5566491404789323,0.5135903211139878,0.5998125273760472
258,CHLA06ATRT,BER_A_8oxoG,100,0.5558707408132495,0.532256317197363,0.5791489897625195
259,CHLA06ATRT,BER_A_8oxoG,500,0.5559838147821397,0.5455814516558739,0.5664182828613459
260,CHLA06ATRT,BER_Hx,1,0.9358771875674436,0.8452647278150633,0.9923664122137404
261,CHLA06ATRT,BER_Hx,2,0.9351048308919571,0.8391421979865772,0.9817985199697857
262,CHLA06ATRT,BER_Hx,3,0.9355524863602568,0.8543580285590204,0.9769700887464935
263,CHLA06ATRT,BER_Hx,4,0.9339290103876681,0.8676092723498261,0.974523949611517
264,CHLA06ATRT,BER_Hx,5,0.9340162932617352,0.8744657586428255,0.969630254928583
265,CHLA06ATRT,BER_Hx,10,0.9352867085238009,0.896499888172159,0.9606598109556831
266,CHLA06ATRT,BER_Hx,20,0.9350709184781326,0.9093095039262912,0.9543194548063223
267,CHLA06ATRT,BER_Hx,30,0.9356269651457515,0.9144640242675893,0.9518448003086725
268,CHLA06ATRT,BER_Hx,100,0.9351827750730912,0.9240198929213845,0.943973610241614
269,CHLA06ATRT,BER_Hx,500,0.9349712084274616,0.9300856026694276,0.9389478363715993
270,CHLA06ATRT,BER_UG,1,0.9837651018726876,0.910411622276029,1.0
271,CHLA06ATRT,BER_UG,2,0.9858003196838478,0.9445902517594511,1.0
272,CHLA06ATRT,BER_UG,3,0.9849843580381304,0.9475877200630552,1.0
273,CHLA06ATRT,BER_UG,4,0.9857288489872257,0.9558916128257869,0.9996526135449286
274,CHLA06ATRT,BER_UG,5,0.9850308907941793,0.961813972408187,0.9991260877715293
275,CHLA06ATRT,BER_UG,10,0.9851765900339547,0.9673831172307277,0.9965007806831709
